settlement_id,settlement_name,latitude,longitude,coordinate_source,coordinate_confidence,matched_address,geocoding_query,verification_status,verification_reason
SETTLEMENT_40822,Hailang,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40823,Paini,,,,,,"Paini, Chamoli, Uttarakhand, India",MISSING,Returned address contains outside-area location: pokhari
SETTLEMENT_40824,Sailang,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40825,Gaunkh Laga Sailang,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40826,Auli Laga Joshimath,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40827,Auli Laga Salud Dugra,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40828,Salud Dugra,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40829,Dumak,30.5072396,79.3831468,OpenStreetMap Nominatim,MEDIUM,"Dumak, Joshimath Tehsil, Chamoli, Uttarakhand, India","Dumak, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40830,Kalgoth,30.516532,79.415042,OpenStreetMap Nominatim,MEDIUM,"Kalgoth, Joshimath Tehsil, Chamoli, Uttarakhand, India","Kalgoth, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40831,Uchougaur,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40832,Palla,30.5122953,79.4720821,OpenStreetMap Nominatim,MEDIUM,"Palla, Kimana, Joshimath Tehsil, Chamoli, Uttarakhand, India","Palla, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40833,Jakhola,,,,,,"Jakhola, Uttarakhand, India",MISSING,Coordinates fall outside the expected Joshimath/Chamoli region
SETTLEMENT_40834,Kimana,30.4978872,79.4523689,OpenStreetMap Nominatim,MEDIUM,"Kimana, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Kimana, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40835,Pokhani Urf Pokhari,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40836,Lanji,30.480797,79.4483104,OpenStreetMap Nominatim,MEDIUM,"Lanji, Garurganga, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Lanji, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40837,Tirosi,30.4767634,79.4639175,OpenStreetMap Nominatim,MEDIUM,"SubCentre, Tirosi, NH7, Tangi Talli, Langsi, Chamoli, Uttarakhand, 246472, India","Tirosi, Joshimath, Chamoli, Uttarakhand, India",REVIEW,"Chamoli/Uttarakhand match, but Joshimath not explicitly confirmed"
SETTLEMENT_40838,Dwing,30.4886522,79.4620501,OpenStreetMap Nominatim,MEDIUM,"Dwing, Kimana, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Dwing, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40839,Tapon,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40840,Gulabkoti,30.5046348,79.4916067,OpenStreetMap Nominatim,MEDIUM,"Gulabkoti, Pagnau, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Gulabkoti, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40841,Langsi,30.4933697,79.4792409,OpenStreetMap Nominatim,MEDIUM,"Langsi, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Langsi, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40842,Tangni talli,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40843,Tangni malli,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40844,Jalgwar,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40845,Pakhi,30.4656853,79.4513854,OpenStreetMap Nominatim,MEDIUM,"Pakhi, NH7, Garurganga, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Pakhi, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40846,Marwadi Chak Pakhi,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40847,Darmi,30.4620539,79.4908905,OpenStreetMap Nominatim,MEDIUM,"Darmi Ganga, Darni, Ganaj, Joshimath Tehsil, Chamoli, Uttarakhand, India","Darmi, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40848,Noligwar,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40849,Pagnau,30.4945351,79.4962988,OpenStreetMap Nominatim,MEDIUM,"Pagnau, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Pagnau, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40850,Molta,30.4831116,79.5207657,OpenStreetMap Nominatim,MEDIUM,"Molta, Joshimath Tehsil, Chamoli, Uttarakhand, India","Molta, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40851,Ganai,30.4729745,79.5020465,OpenStreetMap Nominatim,MEDIUM,"SubCentre, Ganai, NH7, Lapon, Langsi, Chamoli, Uttarakhand, 246472, India","Ganai, Joshimath, Chamoli, Uttarakhand, India",REVIEW,"Chamoli/Uttarakhand match, but Joshimath not explicitly confirmed"
SETTLEMENT_40852,Bhalgaon,,,,,,"Bhalgaon, Uttarakhand, India",MISSING,Coordinates fall outside the expected Joshimath/Chamoli region
SETTLEMENT_40853,Longsagari,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40854,Fagti,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40855,Pagrasu,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40856,Tolma,30.5239133,79.752224,OpenStreetMap Nominatim,MEDIUM,"Tolma, Suraithota, Joshimath Tehsil, Chamoli, Uttarakhand, India","Tolma, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40857,Sukhi,,,,,,"Sukhi, Uttarakhand, India",MISSING,Coordinates fall outside the expected Joshimath/Chamoli region
SETTLEMENT_40858,Kuraipani,30.5147004,79.7203934,OpenStreetMap Nominatim,MEDIUM,"Kuraipani, Balgaon, Joshimath Tehsil, Chamoli, Uttarakhand, India","Kuraipani, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40859,Aira,30.5416843,79.6190808,OpenStreetMap Nominatim,MEDIUM,"Aira, Joshimath Tehsil, Chamoli, Uttarakhand, 246443, India","Aira, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40860,Inara,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40861,Khancha talla,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40862,Khancha malla,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40863,Merag,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40864,Bara gaon,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40865,Payya chormi,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40866,Dhak,30.498861,79.6113429,OpenStreetMap Nominatim,MEDIUM,"Dhak, Joshimath Tehsil, Chamoli, Uttarakhand, India","Dhak, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40867,Kundikhola,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40868,Tugasi,30.4822562,79.5981038,OpenStreetMap Nominatim,MEDIUM,"Tugasi, Joshimath Tehsil, Chamoli, Uttarakhand, India","Tugasi, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40869,Raigari,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40870,Karchi,30.4830375,79.6077382,OpenStreetMap Nominatim,MEDIUM,"Karchi, Joshimath Tehsil, Chamoli, Uttarakhand, India","Karchi, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40871,Bilagar,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40872,Chamtoli,30.5001965,79.6167121,OpenStreetMap Nominatim,MEDIUM,"Chamtoli, Joshimath Tehsil, Chamoli, Uttarakhand, India","Chamtoli, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40873,Topovan,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40874,Gahar,,,,,,"Gahar, Uttarakhand, India",MISSING,Coordinates fall outside the expected Joshimath/Chamoli region
SETTLEMENT_40875,Bhangyul,30.4956893,79.6321168,OpenStreetMap Nominatim,MEDIUM,"Bhangyul, Tapoban, Joshimath Tehsil, Chamoli, Uttarakhand, India","Bhangyul, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40876,Karachhon,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40877,Badal Gaitha,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40878,Juwagwar,30.4931218,79.6743167,OpenStreetMap Nominatim,MEDIUM,"Juwagwar, Subhain, Joshimath Tehsil, Chamoli, Uttarakhand, India","Juwagwar, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40879,Jugaju chak lata,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40880,Lata,30.49667,79.70719,OpenStreetMap Nominatim,MEDIUM,"Lata, Joshimath Tehsil, Chamoli, Uttarakhand, India","Lata, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40881,Raini Chak Lata,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40882,Pang Chak Lata,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40883,Morana Chak Subhai,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40884,Subhai,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40885,Raini Chak Subhai,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40886,Ringi,30.4780383,79.618965,OpenStreetMap Nominatim,MEDIUM,"Ringi, Joshimath Tehsil, Chamoli, Uttarakhand, 246483, India","Ringi, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40887,Bampa,30.7436664,79.8297153,OpenStreetMap Nominatim,MEDIUM,"BAMPA, Pharkia, Joshimath Tehsil, Chamoli, Uttarakhand, India","Bampa, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40888,Gamsali,30.7559986,79.8261873,OpenStreetMap Nominatim,MEDIUM,"Gamshali, Joshimath Tehsil, Chamoli, Uttarakhand, India","Gamsali, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40889,Niti,30.7776642,79.8411215,OpenStreetMap Nominatim,MEDIUM,"Niti, Joshimath Tehsil, Chamoli, Uttarakhand, India","Niti, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40890,Gurguti,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40891,Mahargaon,30.4061118,79.4205814,OpenStreetMap Nominatim,MEDIUM,"Mahargaon, Chamoli Tehsil, Chamoli, Uttarakhand, India","Mahargaon, Chamoli, Uttarakhand, India",REVIEW,"Chamoli/Uttarakhand match, but Joshimath not explicitly confirmed"
SETTLEMENT_40892,Malari,30.6845508,79.8893688,OpenStreetMap Nominatim,MEDIUM,"Malari, Joshimath Tehsil, Chamoli, Uttarakhand, India","Malari, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40893,Kailashpur,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40894,Rewal Chak Kurkuti,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40895,Farkiagaon,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40896,Kosa,30.67793,79.8609495,OpenStreetMap Nominatim,MEDIUM,"Kosa, Joshimath Tehsil, Chamoli, Uttarakhand, India","Kosa, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40897,Jalam,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40898,Jumma,30.60791,79.80606,OpenStreetMap Nominatim,MEDIUM,"Jumma, Joshimath Tehsil, Chamoli, Uttarakhand, India","Jumma, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40899,Lamtoli,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40900,Kaga Laga Dronagiri,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40901,Garpak,30.6269079,79.854244,OpenStreetMap Nominatim,MEDIUM,"GARPAK, Joshimath Tehsil, Chamoli, Uttarakhand, India","Garpak, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40902,Dronagiri,30.5991704,79.8680413,OpenStreetMap Nominatim,MEDIUM,"DRONAGIRI, Joshimath Tehsil, Chamoli, Uttarakhand, India","Dronagiri, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40903,F-1,30.5555752,79.5612607,OpenStreetMap Nominatim,MEDIUM,"Joshīmath, Joshimath Tehsil, Chamoli, Uttarakhand, India","F-1, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40904,Joshimath,30.5555752,79.5612607,OpenStreetMap Nominatim,MEDIUM,"Joshīmath, Joshimath Tehsil, Chamoli, Uttarakhand, India","Joshimath, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_40905,Chamoli,30.4396857,79.4305095,OpenStreetMap Nominatim,MEDIUM,"JNV Chamoli, NH7, Bajani, Pīpalkoti, Chamoli Tehsil, Chamoli, Uttarakhand, 246472, India","Chamoli, Joshimath, Chamoli, Uttarakhand, India",REVIEW,"Chamoli/Uttarakhand match, but Joshimath not explicitly confirmed"
SETTLEMENT_40906,Joshimath,30.5555752,79.5612607,OpenStreetMap Nominatim,MEDIUM,"Joshīmath, Joshimath Tehsil, Chamoli, Uttarakhand, India","Joshimath, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli
SETTLEMENT_800290,Badrinathpuri (NP),,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_800291,Joshimath  (NPP),,,MISSING,MISSING,,,MISSING,No coordinates available
