cell_id,lat,lon,elevation,slope,aspect,curvature,flow_accumulation,historical_landslide,landslide_id,landslide_year,training_event,control_for_event
cell_1127_67,30.5108608859116,79.41969971067223,2561,40.839706,217.56859,0.0034012673,2.7087309183904766,0,,,LS_004,LS_004
cell_1038_86,30.5337786737136,79.42496500346047,3181,43.01308,81.33586,-0.010055617,11.579303461166548,0,,,LS_008,LS_008
cell_1151_204,30.505185414299,79.4604200814992,2260,20.294695,127.278175,-0.004821033,8.104918634524019,0,,,LS_003,LS_003
cell_1045_1037,30.53508683724116,79.70706562455271,4028,35.5648,142.98933,0.009924369,1.141789219786865,0,,,LS_007,LS_007
cell_477_128,30.67795703320984,79.43510741013064,4037,47.6531,71.56505,-0.013512898,25.590175176157864,0,,,LS_006,LS_006
cell_1037_1079,30.53726405936948,79.71949707088957,3286,31.806105,105.61099,0.001483893,5.024611732265954,0,,,LS_007,LS_007
cell_508_146,30.67006261931679,79.44058180441121,3463,18.296358,73.00918,-0.014003846,5673.160349392929,1,LS_006,2017.0,LS_006,LS_006
cell_1149_304,30.50604581653865,79.49006291666292,1452,17.777802,323.91492,-0.005193296,144.99284376855334,0,,,LS_002,LS_002
cell_1140_311,30.508380558844205,79.49210283938349,1447,39.047443,252.34988,0.0055029094,12.90986738034915,0,,,LS_002,LS_002
cell_1034_78,30.5347769047212,79.42257571175101,3284,29.512428,228.14496,-0.0012476146,3.2805587242577525,0,,,LS_008,LS_008
cell_1056_1036,30.532259442661264,79.70680641851779,3981,50.896694,99.86581,-0.016300282,15.385957282791775,0,,,LS_007,LS_007
cell_485_139,30.6759424962646,79.43840777177167,3805,45.20356,132.52579,-0.006258209,7.081220467256927,0,,,LS_006,LS_006
cell_1150_289,30.5057374636294,79.48561922424412,1310,21.40939,311.36703,-0.006646148,14.590296206939406,0,,,LS_002,LS_002
cell_1112_306,30.51555226168304,79.49050916234494,1465,63.48916,112.40744,0.014541838,1.3382022319077225,0,,,LS_002,LS_002
cell_1169_239,30.500686221817183,79.47087010949325,1862,29.763351,143.74615,0.02220732,1.0001797852818577,0,,,LS_003,LS_003
cell_1084_72,30.521918533177352,79.42100382339667,2918,39.761375,266.06522,0.0049215937,6.298446977322446,0,,,LS_004,LS_004
cell_1052_1055,30.53334234515123,79.71242863876545,3656,36.281967,12.789073,-0.0016307083,12.282699175334733,0,,,LS_007,LS_007
cell_1045_665,30.53394482809756,79.59672327489119,1922,40.458122,17.688463,0.0015284227,100.22067823599085,0,,,LS_001,LS_001
cell_891_582,30.573217236317856,79.57152573151795,2034,46.40469,75.96375,-0.00040058524,1.0169704926191725,0,,,LS_005,LS_005
cell_1065_66,30.526774941254352,79.41914554292741,3032,48.0517,174.10938,-0.0042112838,5.448901561368784,0,,,LS_008,LS_008
cell_1152_208,30.50494267813724,79.46161014457009,2229,35.104183,181.4321,-0.010028458,8.965422063324587,0,,,LS_003,LS_003
cell_532_130,30.66384390928696,79.43592900935175,3829,9.920969,298.49564,0.006199802,1.0309107359092462,0,,,LS_006,LS_006
cell_1053_75,30.52988813989792,79.42176482083627,3194,45.91127,254.95866,0.013732664,3.725196652655303,0,,,LS_008,LS_008
cell_1047_653,30.53339292154671,79.59317135241936,2084,38.539673,41.42367,0.004169136,6.253026793170371,0,,,LS_001,LS_001
cell_1155_298,30.50448472013944,79.48830767925246,1495,35.888824,326.88864,-0.0061996575,3.9715598142787374,0,,,LS_002,LS_002
cell_1055_97,30.52945355649144,79.42829774334965,3157,35.48277,67.54306,0.029480888,1.0924733694190774,0,,,LS_008,LS_008
cell_529_130,30.664614107186207,79.43591660205114,3812,16.631552,318.57632,0.0012016224,1.0227869614189498,0,,,LS_006,LS_006
cell_953_569,30.557256216005587,79.5679021685079,1759,39.867756,353.65982,0.0032873289,8.464004452626948,0,,,LS_005,LS_005
cell_1037_54,30.533920295965192,79.41547008128029,3452,48.51243,162.83183,0.0055149533,1.7459454927631366,0,,,LS_008,LS_008
cell_1059_1037,30.531492082194248,79.70711324011762,3972,32.701546,57.28833,-0.005806862,3.9170997025443737,0,,,LS_007,LS_007
cell_1131_293,30.51062939422312,79.48672971066206,1420,49.86311,129.28941,0.004741082,1.8089115891145056,0,,,LS_002,LS_002
cell_943_547,30.559751775245545,79.56133738702877,1683,24.114603,15.945399,-0.0043156296,21.211983369623336,0,,,LS_005,LS_005
cell_1059_1053,30.53153909868841,79.71185911240906,3790,29.030851,50.136383,0.02638603,2.633222788535683,0,,,LS_007,LS_007
cell_1140_216,30.508051564507586,79.46393374771523,2452,27.693285,174.71877,0.0030174514,8.402235232866571,0,,,LS_003,LS_003
cell_1134_230,30.509640886180527,79.46806079819193,2501,12.191486,116.56505,0.0032176864,3.174650219360952,0,,,LS_003,LS_003
cell_1038_1053,30.53693124054957,79.71178794785969,3788,52.41396,111.621574,-0.0053654374,4.235426147089169,1,LS_007,2017.0,LS_007,LS_007
cell_1040_638,30.53514208226047,79.58869624216727,2126,12.147411,88.830864,-0.00081267767,6.82059994016241,1,LS_001,2014.0,LS_001,LS_001
cell_498_121,30.672540598238488,79.43311526301945,4170,49.527374,157.76001,0.0008761824,4.28765116914733,0,,,LS_006,LS_006
cell_1083_72,30.522175269582394,79.42099967173797,2916,52.25854,224.72455,-0.020024003,15.382395871913689,0,,,LS_008,LS_008
cell_526_151,30.66545923816046,79.44214098819774,3871,38.91624,307.92966,-0.013448698,19.03928957417316,0,,,LS_006,LS_006
cell_497_125,30.672811654882096,79.43429916649221,4113,46.56933,96.44541,0.0038690479,5.531713576046321,0,,,LS_006,LS_006
cell_1134_310,30.50991760039401,79.49178253904358,1426,41.28182,287.16595,0.0009559523,13.168362701378904,0,,,LS_002,LS_002
cell_1038_92,30.53380018047432,79.4267445259246,3087,38.2458,85.84615,-0.011515837,30.449110363370625,0,,,LS_008,LS_008
cell_1116_292,30.51447712115732,79.48637351191054,1740,66.57728,168.47627,-0.0003135486,5.5813669097188265,0,,,LS_002,LS_002
cell_538_129,30.66229993792858,79.43565684232944,3878,30.17755,328.59094,0.0019698562,5.697001920777226,0,,,LS_006,LS_006
cell_943_561,30.55979760838601,79.5654909750983,1611,31.671711,28.024508,-0.004597499,14.512605656083144,0,,,LS_005,LS_005
cell_1099_281,30.518803839148784,79.48304381951603,2008,34.811123,86.37852,-0.0013866082,22.5546431305914,0,,,LS_002,LS_002
cell_1155_246,30.504304964497425,79.4728893923285,2199,57.468132,167.87161,-0.0071918834,3.60751254599828,0,,,LS_003,LS_003
cell_893_569,30.57266133990532,79.56767583435193,2160,52.67975,86.16041,-0.00547733,5.761176150361844,0,,,LS_005,LS_005
cell_1134_317,30.509941607584462,79.49385820696256,1656,53.531082,234.24611,-0.0007968979,3.261738796730176,0,,,LS_002,LS_002
cell_1075_1059,30.52744838079425,79.71369295026524,3462,45.372517,141.68932,0.002841974,15.985497432732908,0,,,LS_007,LS_007
cell_1075_628,30.52612346976447,79.58586030272315,2474,22.870201,31.373007,-0.002396031,3.6748315217348,0,,,LS_001,LS_001
cell_1135_275,30.50954032463908,79.48140822788605,1648,52.94532,132.31203,-0.006191037,13.255039137692714,0,,,LS_002,LS_002
cell_1115_113,30.514106450193687,79.43329011677953,3074,15.468018,324.0395,-0.00081889646,9.361459204042484,0,,,LS_004,LS_004
cell_1116_80,30.513731685624563,79.423508853274,2647,15.977252,228.7314,-0.0011724988,47.60827894608981,0,,,LS_004,LS_004
cell_1120_288,30.51343635877168,79.48520329121155,1541,54.20261,153.27264,-0.014459806,14.376921071350342,1,LS_002,2014.0,LS_002,LS_002
cell_1159_287,30.503419867316843,79.48506202863742,1321,37.696735,246.20282,-0.0012724282,7.692155593864808,0,,,LS_002,LS_002
cell_1101_100,30.517654369791728,79.42937745281637,2960,34.018555,71.800835,0.0050538564,3.1338297740997314,0,,,LS_004,LS_004
cell_1018_1078,30.542139757319045,79.71913640140676,3309,46.027397,106.74575,-0.0045370227,11.387086301449884,0,,,LS_007,LS_007
cell_1108_84,30.51579992813049,79.42466183069286,2830,48.278362,190.60587,-0.00067104324,14.025491435461271,0,,,LS_004,LS_004
cell_1137_242,30.50891243914484,79.47163108795932,2390,29.735659,88.23761,-0.0017003561,21.13141829644364,0,,,LS_003,LS_003
cell_1067_1062,30.52951131688004,79.71455571959193,3537,39.873993,143.55183,-0.0072766254,12.203701794149792,0,,,LS_007,LS_007
cell_1132_217,30.510108996893496,79.46419797418785,2622,44.458916,200.70612,-0.0031584771,4.479925473514316,0,,,LS_003,LS_003
cell_1048_67,30.53114305079564,79.4193714388295,3103,16.277061,186.91122,-0.006548022,986.8073063455522,1,LS_008,2017.0,LS_008,LS_008
cell_1048_1070,30.53441332577908,79.71686448548103,3424,30.278082,45.0,-0.0012437563,15.86715886155996,0,,,LS_007,LS_007
cell_1135_304,30.50964025124971,79.49000736542875,1327,47.787724,269.77173,0.014246401,2.4368375702358054,0,,,LS_002,LS_002
cell_1053_59,30.52983055980528,79.41701963341215,3217,37.62135,4.2484546,0.0029611168,1.860897846678391,0,,,LS_008,LS_008
cell_1122_290,30.512929762743862,79.48580431832502,1471,35.10103,131.9606,-0.020743351,1364.3856228836748,1,LS_002,2014.0,LS_002,LS_002
cell_494_170,30.67374226066017,79.44765244692695,3359,33.486954,32.529537,-0.0056286124,3.8137093254192926,0,,,LS_006,LS_006
cell_1126_215,30.511642458408545,79.46358070570885,2746,10.234417,131.05481,0.0083065005,1.887493701972197,0,,,LS_003,LS_003
cell_1061_636,30.529743785156693,79.58818100616796,2265,43.404945,66.172585,0.0010143784,4.0089283864454925,0,,,LS_001,LS_001
cell_509_145,30.66980232086744,79.44028892499978,3478,19.08768,66.037506,-0.011489616,3230.9354713366824,1,LS_006,2017.0,LS_006,LS_006
cell_927_564,30.563915444950723,79.56632062200394,1420,44.218246,200.88898,-0.0022080862,17.234815178646706,0,,,LS_005,LS_005
cell_1014_618,30.541753294331443,79.58266703337455,2068,27.287159,47.070026,-0.0052544638,55.591622398238094,0,,,LS_001,LS_001
cell_1052_51,30.530058440293004,79.41464287515855,3336,36.83485,140.71059,0.00047771155,2.7072507633192564,0,,,LS_008,LS_008
cell_517_166,30.66782318326328,79.4465588833047,3848,33.417088,11.908293,0.026674155,1.0504815534400307,0,,,LS_006,LS_006
cell_899_567,30.571114297626885,79.56710503582595,2271,30.927261,205.62585,0.0016634605,1.0030845875408827,0,,,LS_005,LS_005
cell_1123_218,30.512423170599494,79.46445817399486,2726,24.779396,68.80594,0.00936324,1.3490292411220492,0,,,LS_003,LS_003
cell_1042_46,30.532607734541624,79.41311826645462,3454,39.521713,108.62786,0.010219106,2.0159656875592966,0,,,LS_008,LS_008
cell_533_134,30.6636014716646,79.43712108198989,3835,29.820053,344.8989,0.00039339426,13.159773101390313,0,,,LS_006,LS_006
cell_529_134,30.66462840279932,79.43710455158087,3770,23.319727,351.20944,-0.011871395,63.23710660462008,0,,,LS_006,LS_006
cell_1018_74,30.538870305070887,79.42132290302216,3313,43.628345,16.598106,-0.0017203817,1.947129199536928,0,,,LS_008,LS_008
cell_1078_88,30.523516376574594,79.42572379952531,3216,32.7563,38.904137,-0.0028211428,4.241651452950127,0,,,LS_004,LS_004
cell_1153_302,30.505011962786085,79.48948576928271,1498,26.466621,11.706434,0.0030791392,2.907292460407597,0,,,LS_002,LS_002
cell_1159_215,30.503169965878744,79.46371393336455,2184,36.297615,93.08481,0.019176504,1.1978326641052226,0,,,LS_003,LS_003
cell_939_600,30.560951601255628,79.57704674616788,1474,33.89435,41.82018,0.0065254727,16.138138999687964,0,,,LS_005,LS_005
cell_955_561,30.55671658350559,79.56553630173504,1806,35.597496,353.65982,-0.0017790616,81.89003023794771,0,,,LS_005,LS_005
cell_1016_55,30.53931534241527,79.4156791402649,3384,24.78137,62.21608,0.006794031,2.469383795095076,0,,,LS_008,LS_008
cell_1090_87,30.520431949055983,79.42547692307234,3197,38.486103,261.42227,0.0069572506,1.1994904522041288,0,,,LS_004,LS_004
cell_1044_1067,30.53543163300061,79.71596109370765,3452,31.87674,100.99251,-0.0059493715,77.73627976312675,0,,,LS_007,LS_007
cell_1052_629,30.532032066034304,79.58607135897738,2227,19.813843,9.117861,-0.0030994874,342.4350198930882,0,,,LS_001,LS_001
cell_1052_1027,30.53325998480877,79.70412321432599,4208,39.104046,88.45184,-0.0034522454,7.022306749229697,0,,,LS_007,LS_007
cell_1091_272,30.52082668686325,79.4803429131858,2479,26.294947,120.43973,0.016547993,1.0,0,,,LS_002,LS_002
cell_1031_1058,30.53874328154059,79.71324741863057,3623,26.224686,68.00887,0.005889853,12.96512340478104,0,,,LS_007,LS_007
cell_1106_282,30.51701008253288,79.48336827879882,2032,25.918518,96.22583,0.0028782343,1.7244478302140196,0,,,LS_002,LS_002
cell_1029_84,30.53608212620516,79.42433452495467,3199,55.242416,33.060474,0.0065087094,1.8780594832520967,0,,,LS_008,LS_008
cell_933_586,30.562446651770603,79.57287053793425,1425,33.900017,359.62552,0.000515312,19.417858330320712,0,,,LS_005,LS_005
cell_1042_1045,30.535880675551105,79.70942846090081,3915,33.38555,111.09234,-0.007608412,13.953103210583246,0,,,LS_007,LS_007
cell_1044_92,30.53225976036912,79.42676935596853,3218,33.617737,43.394005,0.009990159,3.6172656572944377,0,,,LS_008,LS_008
cell_1113_97,30.514562791711803,79.42853740855792,2918,38.060516,226.8183,0.0018783847,4.783638508871543,0,,,LS_004,LS_004
cell_1057_90,30.528915017327133,79.42623000307245,3316,53.678783,134.47676,-0.0050912914,2.6995185771030776,0,,,LS_008,LS_008
cell_509_166,30.669877053263857,79.4465260157266,3653,40.422066,312.4923,0.019792357,1.47623781500881,0,,,LS_006,LS_006
cell_1054_615,30.53147341635508,79.58192637552308,2332,15.717847,67.036224,-0.0062067118,892.1803269686951,0,,,LS_001,LS_001
cell_533_133,30.66359789892403,79.43682409766588,3831,26.368488,352.87497,-0.0044298074,19.317000571446503,0,,,LS_006,LS_006
cell_1041_69,30.532947398486144,79.4199355026046,3213,32.495483,158.5654,0.0017493772,2.6926899907304898,0,,,LS_008,LS_008
cell_1079_58,30.52315182697343,79.41683131066284,2934,45.174656,192.09476,0.0018253803,2.941394326479106,0,,,LS_008,LS_008
cell_1159_220,30.50318743304701,79.46519643132945,2063,19.271906,122.69198,-0.012391805,1041.886598320732,1,LS_003,2014.0,LS_003,LS_003
cell_1132_280,30.510327827030512,79.4828788735417,1689,56.62758,174.35538,-0.0043475544,2.4316357537162108,0,,,LS_002,LS_002
cell_1153_284,30.50494999321931,79.48414862255824,1250,40.467873,286.75574,0.010033797,2.9313775675642217,0,,,LS_002,LS_002
cell_1135_80,30.50885367988085,79.42358757386774,2674,40.152763,268.21008,-0.0010033767,12.162762924065468,0,,,LS_004,LS_004
cell_1020_1050,30.54154426682766,79.71083699122579,3778,44.623783,106.01544,-0.011578469,9.18496038459182,0,,,LS_007,LS_007
cell_1039_1054,30.53667740538495,79.71208797006842,3731,46.988667,91.40863,-0.0011709195,8.01182342932157,1,LS_007,2017.0,LS_007,LS_007
cell_907_553,30.569014490160143,79.56298124829728,1776,39.59725,214.6182,-0.011618873,15.327034818878062,0,,,LS_005,LS_005
cell_1086_66,30.52138348315312,79.41923283488379,2739,35.759987,210.00493,-0.02043037,2194.4623599556708,0,,,LS_008,LS_008
cell_1029_607,30.53786642765577,79.57946014561206,2302,27.83792,43.652115,-0.0026151054,57.98148236922309,0,,,LS_001,LS_001
cell_528_151,30.66494577144608,79.44214922715189,3925,49.590393,332.8601,-0.0033752834,8.655079407450229,0,,,LS_006,LS_006
cell_1053_1057,30.533091438958845,79.71302527017212,3655,37.704792,36.218834,-0.0049933265,6.573633922466554,0,,,LS_007,LS_007
cell_1043_1086,30.53574383913639,79.72159370204999,3138,33.900017,90.37447,-0.007044757,236.9894128317516,0,,,LS_007,LS_007
cell_1103_62,30.517004570232764,79.41811734212116,2607,31.598886,260.1342,0.0100495145,3.281791616235512,0,,,LS_004,LS_004
cell_1132_263,30.51026904125276,79.47783797578697,2009,61.60523,141.36143,-0.002540485,3.7073002969442816,0,,,LS_002,LS_002
cell_916_552,30.566700451752272,79.56271861002332,1606,46.847385,197.98734,-0.0010662093,37.576012239382194,0,,,LS_005,LS_005
cell_1003_1044,30.545891692795248,79.70899934992147,3914,50.51808,152.8787,0.0012336056,2.147035687792032,0,,,LS_007,LS_007
cell_1038_646,30.53568128321572,79.59106173641919,2032,42.31481,39.91174,0.0060813474,3.2288674165276565,0,,,LS_001,LS_001
cell_496_176,30.67325007693878,79.44944275212427,3304,27.017607,10.922806,-0.004655723,36.49339686260611,0,,,LS_006,LS_006
cell_506_170,30.67066145558946,79.44770171885409,3618,53.49814,63.768063,0.026104301,1.018597762329186,0,,,LS_006,LS_006
cell_1075_1047,30.527413188965085,79.71013369154623,3629,41.29532,143.1301,0.009472682,2.3501049249036043,0,,,LS_007,LS_007
cell_526_172,30.665533872175946,79.44837780545755,3795,28.416746,356.7428,0.0067842207,3.0681017586456667,0,,,LS_006,LS_006
cell_534_164,30.663451604573176,79.44603474528215,4016,28.054136,98.53077,0.020000352,1.092502167207133,0,,,LS_006,LS_006
cell_1065_1030,30.52993084946435,79.70505736130036,3989,36.238865,134.51445,-0.0050608884,42.93062022916703,0,,,LS_007,LS_007
cell_532_141,30.663883194909683,79.43919584671262,3859,33.37619,343.7398,0.00155814,14.81818786756271,0,,,LS_006,LS_006
cell_520_117,30.666878160355065,79.43201845538735,4063,53.935932,133.44484,-0.000602314,2.238753375333593,0,,,LS_006,LS_006
cell_1106_106,30.51639211680977,79.431177305821,2939,31.148382,337.3481,-0.002964063,7.77110385364669,0,,,LS_004,LS_004
cell_1127_58,30.51082849421855,79.417031063632,2311,65.10391,207.03511,0.0038495979,4.17346174974959,0,,,LS_004,LS_004
cell_1023_69,30.537568641936712,79.41986068116017,3299,42.39425,128.35847,-0.014268918,6.9514467636347765,0,,,LS_008,LS_008
cell_1015_1070,30.54288670242201,79.71675306859473,3532,24.68439,63.924652,0.020417143,1.0303314256177962,0,,,LS_007,LS_007
cell_478_154,30.677793112048214,79.4428342752735,3492,26.846428,105.60395,-0.013709684,7.636084447616923,0,,,LS_006,LS_006
cell_1022_1044,30.54101310053361,79.70906390011238,3881,42.565594,123.69007,0.013614593,2.132481174219861,0,,,LS_007,LS_007
cell_1062_1031,30.530704102076925,79.70534375714655,4010,27.500664,117.64597,-0.012369882,19.45206195958438,0,,,LS_007,LS_007
cell_1047_75,30.53142855684916,79.42173991417943,3183,33.59813,328.51657,-0.007972045,7.309374493394076,0,,,LS_008,LS_008
cell_1042_49,30.53261857149277,79.41400801168065,3393,40.436348,104.32272,0.004275744,4.147254925520165,0,,,LS_008,LS_008
cell_1169_193,30.5005254937478,79.45723148981237,2442,13.804675,65.72556,-0.0006823288,1.6537458134444298,0,,,LS_003,LS_003
cell_959_557,30.555676495335607,79.56436471859334,1854,15.959403,47.489548,-0.004786387,12.119612121335136,0,,,LS_005,LS_005
cell_1046_44,30.53157356670779,79.41254180559328,3448,37.415806,111.557076,-0.011509214,5.394149658552357,0,,,LS_008,LS_008
cell_1022_1078,30.541112680891985,79.71914988351769,3286,46.46012,139.06152,0.00051135523,5.4800631390840016,0,,,LS_007,LS_007
cell_504_146,30.67108955112651,79.44056530636229,3490,35.079964,96.102776,0.0048284703,5.90628188183317,0,,,LS_006,LS_006
cell_1046_1024,30.53479173586913,79.70321288117486,4296,33.801144,109.14814,0.012065782,1.3987517673082066,0,,,LS_007,LS_007
cell_499_177,30.67248341989988,79.44975206965066,3342,26.44526,29.05461,-0.0057576303,131.03728701518892,0,,,LS_006,LS_006
cell_1089_297,30.52142644252645,79.48774886092234,1828,54.28034,152.9494,-0.01032595,9.993527372017155,0,,,LS_002,LS_002
cell_1160_221,30.50293418186676,79.4654969627277,2049,16.360502,141.07246,-0.014874489,1760.076794643679,1,LS_003,2014.0,LS_003,LS_003
cell_1074_87,30.5245397400586,79.42541068219997,3199,39.655052,62.891872,0.014516882,1.3915179996599805,0,,,LS_008,LS_008
cell_509_127,30.669738026384,79.43494286582745,3839,48.611137,119.442314,0.012480466,2.454699304619863,0,,,LS_006,LS_006
cell_1064_1071,30.53030793901717,79.71721510300414,3466,25.60649,138.71529,0.0031068411,2.383525939704372,0,,,LS_007,LS_007
cell_1143_297,30.507562222473386,79.48796349598398,1307,35.479683,327.58295,0.0025685194,15.6941235441097,0,,,LS_002,LS_002
cell_1044_627,30.53407966798745,79.58544838446721,2253,21.55528,98.31027,0.0011134861,2.588194081785939,0,,,LS_001,LS_001
cell_1100_275,30.518526366684707,79.48126851564379,2096,42.77236,107.4027,-0.0022143063,24.58886669679624,0,,,LS_002,LS_002
cell_1024_1071,30.54057870500924,79.71708010513073,3420,58.730434,136.72916,0.016731502,2.6710859872080173,0,,,LS_007,LS_007
cell_1034_1021,30.53786408487124,79.70228203328816,4272,38.099846,61.568836,0.003528359,8.694113176370129,0,,,LS_007,LS_007
cell_1056_36,30.52897728150317,79.41021099428363,3297,49.27386,225.61276,-0.012147072,8.068727167317704,0,,,LS_008,LS_008
cell_491_167,30.67450181014447,79.44674907035568,3351,27.963448,321.0441,0.002508121,1.710410741675606,0,,,LS_006,LS_006
cell_495_118,30.67330004320845,79.43221178891561,4286,35.766052,127.568596,0.009496571,2.924167225654659,0,,,LS_006,LS_006
cell_927_569,30.563931774361205,79.5678041118059,1479,56.201843,192.56535,-0.00082490925,9.393949129235995,1,LS_005,2017.0,LS_005,LS_005
cell_1136_194,30.509001474289363,79.45739423047723,2517,44.646454,170.78897,0.0035691469,2.815070787474396,0,,,LS_003,LS_003
cell_963_565,30.55467563427189,79.56675319436532,1882,14.640424,16.606985,-0.003988112,1466.6878385659838,0,,,LS_005,LS_005
cell_1048_638,30.53308803732141,79.58872594279568,2185,23.287266,90.0,0.003023749,1.5602986900307083,0,,,LS_001,LS_001
cell_1039_646,30.53542452739457,79.59106544302271,2042,29.53902,71.00334,0.0034896506,3.2735507540509823,0,,,LS_001,LS_001
cell_1155_290,30.50445718406393,79.48593562608535,1377,31.517885,308.01895,0.0021366032,2.742988203891064,0,,,LS_002,LS_002
cell_1165_205,30.50159452870161,79.46077320515896,2437,19.55918,98.53077,0.011934817,1.000038117206223,0,,,LS_003,LS_003
cell_1065_83,30.52683602661027,79.42418715242296,3200,24.251822,240.18584,0.012235865,2.265208489763107,0,,,LS_008,LS_008
cell_1045_60,30.53188804840512,79.41728290440955,3254,44.94686,155.01357,0.016788725,3.6468538128768726,0,,,LS_008,LS_008
cell_1126_283,30.511878647535223,79.48374453551732,1649,47.511597,72.43973,0.008901482,4.783248223458412,0,,,LS_002,LS_002
cell_1053_613,30.53172371204692,79.58132944156424,2353,22.619081,124.69515,0.00042845958,4.216937402060268,0,,,LS_001,LS_001
cell_1014_1055,30.54309955033697,79.71229989842814,3673,40.152763,104.47029,0.0069515286,1.680099104316574,0,,,LS_007,LS_007
cell_1054_35,30.52948713108912,79.40990606007396,3349,49.037243,229.01958,0.013774507,1.7541954488054232,0,,,LS_008,LS_008
cell_1061_89,30.52788448683365,79.42594998965765,3219,50.02473,129.02223,-0.013920154,6.597414502970549,0,,,LS_008,LS_008
cell_938_572,30.561117288983763,79.56873567003264,1536,39.919903,4.214181,0.0053935125,3.3903340100981683,0,,,LS_005,LS_005
cell_492_134,30.67412750771201,79.43695160502975,3922,35.941864,88.2643,0.0012129355,4.0967757019725,0,,,LS_006,LS_006
cell_1111_70,30.514979458356507,79.42052283950778,2650,43.28356,212.4302,-0.0036333904,8.39392101827504,0,,,LS_004,LS_004
cell_1054_36,30.529490751060703,79.41020263182027,3374,46.26894,228.40645,0.017507507,1.4960974601890409,0,,,LS_008,LS_008
cell_1048_66,30.531139451519152,79.41907486074582,3105,19.093384,144.2933,-0.003906814,219.7488465835971,1,LS_008,2017.0,LS_008,LS_008
cell_1145_227,30.506806256932844,79.46721554749872,2433,13.927055,157.0679,-0.0035449388,7.219949120302587,0,,,LS_003,LS_003
cell_1042_1085,30.535997697020303,79.72129370670177,3153,29.417522,85.532845,-0.0036348829,214.28878849909296,0,,,LS_007,LS_007
cell_1038_1051,30.53692537168277,79.71119468046076,3830,33.11084,98.130104,-0.008206622,5.83708975468922,1,LS_007,2017.0,LS_007,LS_007
