settlement_id,settlement_name,latitude,longitude,coordinate_source,coordinate_confidence,matched_address,geocoding_query,verification_status,verification_reason,census_code,resolution_query,resolution_status,coordinate_status
SETTLEMENT_40875,Bhangyul,30.4956893,79.6321168,OpenStreetMap Nominatim,MEDIUM,"Bhangyul, Tapoban, Joshimath Tehsil, Chamoli, Uttarakhand, India","Bhangyul, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40875,,,RESOLVED
SETTLEMENT_40876,Karachhon,30.47768,79.619269,PaintMaps Chamoli map; matched spelling Karchhon,MEDIUM,,,MISSING,No coordinates available,40876,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40877,Badal Gaitha,,,NO_VERIFIED_COORDINATE,UNRESOLVED,,,MISSING,No coordinates available,40877,,UNRESOLVED,UNRESOLVED
SETTLEMENT_40878,Juwagwar,30.4931218,79.6743167,OpenStreetMap Nominatim,MEDIUM,"Juwagwar, Subhain, Joshimath Tehsil, Chamoli, Uttarakhand, India","Juwagwar, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40878,,,RESOLVED
SETTLEMENT_40879,Jugaju chak lata,30.490226,79.691506,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40879,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40880,Lata,30.49667,79.70719,OpenStreetMap Nominatim,MEDIUM,"Lata, Joshimath Tehsil, Chamoli, Uttarakhand, India","Lata, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40880,,,RESOLVED
SETTLEMENT_40881,Raini Chak Lata,30.488322,79.694825,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40881,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40882,Pang Chak Lata,,,NO_VERIFIED_COORDINATE,UNRESOLVED,,,MISSING,No coordinates available,40882,,UNRESOLVED,UNRESOLVED
SETTLEMENT_40883,Morana Chak Subhai,30.46927,79.703664,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40883,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40884,Subhai,30.479065,79.676862,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40884,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40885,Raini Chak Subhai,30.48615,79.691402,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40885,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40886,Ringi,30.4780383,79.618965,OpenStreetMap Nominatim,MEDIUM,"Ringi, Joshimath Tehsil, Chamoli, Uttarakhand, 246483, India","Ringi, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40886,,,RESOLVED
SETTLEMENT_40887,Bampa,30.7436664,79.8297153,OpenStreetMap Nominatim,MEDIUM,"BAMPA, Pharkia, Joshimath Tehsil, Chamoli, Uttarakhand, India","Bampa, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40887,,,RESOLVED
SETTLEMENT_40888,Gamsali,30.7559986,79.8261873,OpenStreetMap Nominatim,MEDIUM,"Gamshali, Joshimath Tehsil, Chamoli, Uttarakhand, India","Gamsali, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40888,,,RESOLVED
SETTLEMENT_40889,Niti,30.7776642,79.8411215,OpenStreetMap Nominatim,MEDIUM,"Niti, Joshimath Tehsil, Chamoli, Uttarakhand, India","Niti, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40889,,,RESOLVED
SETTLEMENT_40890,Gurguti,30.711087,79.843565,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40890,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40891,Mahargaon,30.4061118,79.4205814,OpenStreetMap Nominatim,MEDIUM,"Mahargaon, Chamoli Tehsil, Chamoli, Uttarakhand, India","Mahargaon, Chamoli, Uttarakhand, India",REVIEW,"Chamoli/Uttarakhand match, but Joshimath not explicitly confirmed",40891,,,RESOLVED
SETTLEMENT_40892,Malari,30.6845508,79.8893688,OpenStreetMap Nominatim,MEDIUM,"Malari, Joshimath Tehsil, Chamoli, Uttarakhand, India","Malari, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40892,,,RESOLVED
SETTLEMENT_40893,Kailashpur,30.706927,79.876135,PaintMaps Chamoli map; supported by Niti Valley field-study location,MEDIUM,,,MISSING,No coordinates available,40893,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40894,Rewal Chak Kurkuti,,,NO_VERIFIED_COORDINATE,UNRESOLVED,,,MISSING,No coordinates available,40894,,UNRESOLVED,UNRESOLVED
SETTLEMENT_40895,Farkiagaon,,,NO_VERIFIED_COORDINATE,UNRESOLVED,,,MISSING,No coordinates available,40895,,UNRESOLVED,UNRESOLVED
SETTLEMENT_40896,Kosa,30.67793,79.8609495,OpenStreetMap Nominatim,MEDIUM,"Kosa, Joshimath Tehsil, Chamoli, Uttarakhand, India","Kosa, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40896,,,RESOLVED
SETTLEMENT_40897,Jalam,30.638213,79.825207,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40897,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40898,Jumma,30.60791,79.80606,OpenStreetMap Nominatim,MEDIUM,"Jumma, Joshimath Tehsil, Chamoli, Uttarakhand, India","Jumma, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40898,,,RESOLVED
SETTLEMENT_40899,Lamtoli,,,NO_VERIFIED_COORDINATE,UNRESOLVED,,,MISSING,No coordinates available,40899,,UNRESOLVED,UNRESOLVED
SETTLEMENT_40900,Kaga Laga Dronagiri,30.612136,79.823992,PaintMaps Chamoli map,MEDIUM,,,MISSING,No coordinates available,40900,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_40901,Garpak,30.6269079,79.854244,OpenStreetMap Nominatim,MEDIUM,"GARPAK, Joshimath Tehsil, Chamoli, Uttarakhand, India","Garpak, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40901,,,RESOLVED
SETTLEMENT_40902,Dronagiri,30.5991704,79.8680413,OpenStreetMap Nominatim,MEDIUM,"DRONAGIRI, Joshimath Tehsil, Chamoli, Uttarakhand, India","Dronagiri, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40902,,,RESOLVED
SETTLEMENT_40903,F-1,30.5555752,79.5612607,OpenStreetMap Nominatim,MEDIUM,"Joshīmath, Joshimath Tehsil, Chamoli, Uttarakhand, India","F-1, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40903,,,RESOLVED
SETTLEMENT_40904,Joshimath,30.5555752,79.5612607,OpenStreetMap Nominatim,MEDIUM,"Joshīmath, Joshimath Tehsil, Chamoli, Uttarakhand, India","Joshimath, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40904,,,RESOLVED
SETTLEMENT_40905,Chamoli,30.4396857,79.4305095,OpenStreetMap Nominatim,MEDIUM,"JNV Chamoli, NH7, Bajani, Pīpalkoti, Chamoli Tehsil, Chamoli, Uttarakhand, 246472, India","Chamoli, Joshimath, Chamoli, Uttarakhand, India",REVIEW,"Chamoli/Uttarakhand match, but Joshimath not explicitly confirmed",40905,,,RESOLVED
SETTLEMENT_40906,Joshimath,30.5555752,79.5612607,OpenStreetMap Nominatim,MEDIUM,"Joshīmath, Joshimath Tehsil, Chamoli, Uttarakhand, India","Joshimath, Joshimath, Chamoli, Uttarakhand, India",ACCEPT,Address explicitly identifies Joshimath and Chamoli,40904,,,RESOLVED
SETTLEMENT_800290,Badrinathpuri (NP),30.743,79.494,Geocountries Badrinathpuri map,MEDIUM,,,MISSING,No coordinates available,800290,,WEB_RESEARCHED,RESOLVED
SETTLEMENT_800291,Joshimath  (NPP),30.555,79.565,Published geographic coordinate for Joshimath; cross-checked with geographic literature,HIGH,,,MISSING,No coordinates available,800291,,UNRESOLVED,RESOLVED
