settlement_id,settlement_name,latitude,longitude,coordinate_source,coordinate_confidence,matched_address,geocoding_query,verification_status,verification_reason
SETTLEMENT_40862,Khancha malla,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40863,Merag,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40864,Bara gaon,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40865,Payya chormi,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40867,Kundikhola,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40869,Raigari,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40871,Bilagar,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40873,Topovan,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40874,Gahar,30.0111388,78.7947392,OpenStreetMap Nominatim,MEDIUM,"gahar, Pauri, Pauri Garhwal, Uttarakhand, 246167, India","Gahar, Uttarakhand, India",REJECT,Coordinates fall outside the expected Joshimath/Chamoli region
SETTLEMENT_40876,Karachhon,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40877,Badal Gaitha,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40879,Jugaju chak lata,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40881,Raini Chak Lata,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40882,Pang Chak Lata,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40883,Morana Chak Subhai,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40884,Subhai,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40885,Raini Chak Subhai,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40890,Gurguti,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40891,Mahargaon,30.4061118,79.4205814,OpenStreetMap Nominatim,MEDIUM,"Mahargaon, Chamoli Tehsil, Chamoli, Uttarakhand, India","Mahargaon, Chamoli, Uttarakhand, India",REVIEW,"Chamoli/Uttarakhand match, but Joshimath not explicitly confirmed"
SETTLEMENT_40893,Kailashpur,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40894,Rewal Chak Kurkuti,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40895,Farkiagaon,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40897,Jalam,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40899,Lamtoli,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40900,Kaga Laga Dronagiri,,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_40905,Chamoli,30.4396857,79.4305095,OpenStreetMap Nominatim,MEDIUM,"JNV Chamoli, NH7, Bajani, Pīpalkoti, Chamoli Tehsil, Chamoli, Uttarakhand, 246472, India","Chamoli, Joshimath, Chamoli, Uttarakhand, India",REVIEW,"Chamoli/Uttarakhand match, but Joshimath not explicitly confirmed"
SETTLEMENT_800290,Badrinathpuri (NP),,,MISSING,MISSING,,,MISSING,No coordinates available
SETTLEMENT_800291,Joshimath  (NPP),,,MISSING,MISSING,,,MISSING,No coordinates available
