pseudocode,state,district,block,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g,cwsn_sch_type,rte_25p_admission_yn,estd_year,certified_fit_india_yn,is_nsqf,prevoc_yn,stc_yn,smdc_pta_yn,smdc_pta_meeting,remedial_tch_enrol,learner_holistic_rptcard_yn,facility_building_status,facility_no_building_blocks,facility_pucca_building_blocks,facility_boundary_wall,facility_total_class_rooms,facility_other_rooms,facility_classrooms_in_good_condition,facility_classrooms_needs_minor_repair,facility_classrooms_needs_major_repair,facility_separate_room_for_hm,facility_total_boys_toilet,facility_total_boys_func_toilet,facility_total_girls_toilet,facility_total_girls_func_toilet,facility_total_boys_cwsn_toilet,facility_func_boys_cwsn_friendly,facility_total_girls_cwsn_toilet,facility_func_girls_cwsn_friendly,facility_urinal_boys,facility_urinal_girls,facility_handwash_near_toilet,facility_hand_pump_yn,facility_well_prot_yn,facility_tap_yn,facility_othsrc_yn,facility_well_unprot_yn,facility_pack_water_yn,facility_hand_pump_fun_yn,facility_well_prot_fun_yn,facility_tap_fun_yn,facility_othsrc_fun_yn,facility_well_unprot_fun_yn,facility_pack_water_fun_yn,facility_rain_water_harvesting,facility_handwash_facility_for_meal,facility_electricity_availability,facility_solar_panel,facility_library_availability,facility_book_bank,facility_reading_corner,facility_playground_available,facility_playground_alt_yn,facility_medical_checkups,facility_availability_ramps,facility_availability_of_handrails,facility_furniture_availability,facility_phy_lab_cond,facility_chem_lab_cond,facility_bio_lab_cond,facility_math_lab_cond,facility_lang_lab_cond,facility_geo_lab_cond,facility_home_sc_lab_cond,facility_psycho_lab_cond,facility_comp_lab_cond,facility_comp_ict_lab_yn,facility_ict_lab_yn,facility_laptop,facility_tablet,facility_desktop,facility_digiboard,facility_teachdev_tot,facility_server_tot,facility_smart_class_tv_tot,facility_projector,facility_printer,facility_internet,facility_dth,facility_spl_educator_yn,facility_librarian_yn,facility_land_avl_yn,facility_kitchen_garden_yn,facility_staff_qtr_yn,facility_tinkering_lab_yn,facility_boarding_pri_yn,facility_boarding_upr_yn,facility_boarding_sec_yn,facility_boarding_hsec_yn,facility_cyber_safety,facility_psycho_social,facility_enrichment_activities,safety_sdmp_plan_yn,safety_struct_safaud_yn,safety_nonstr_safaud_yn,safety_cctv_cam_yn,safety_fire_ext_yn,safety_nodal_tch_yn,safety_safty_trng_yn,safety_dismgmt_taug_yn,safety_slfdef_grt_yn,safety_slfdef_trained,safety_guide_display_yn,safety_tch_first_level_counsellor,safety_safe_sec_audit,safety_teacher_displaying_photo,safety_vidya_pravesh,safety_stu_atndnc_yn,safety_tch_atndnc_yn,safety_sch_youth_club_yn,safety_sch_eco_club_yn,safety_tch_icard_yn,safety_self_cert_obtained_yn
6881233,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Math Jhadeta,Math Jhadeta,Dasholi,1,3,1,5,1,246472,2,2,3,0,2,4,0,0,0,0,0,1,2,2,224,1,0,0,0,0,1,0,9,9,1974,1,2,9,2,2,0,1,1,3,1,1,2,2,1,0,2,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,2,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,0,0,2.0,1,1,1,2,1,1,1,1,9,0,1,2,6,1,1,2,2,2,1,1,1
7454087,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Pyura,Pyura,Gairsain,7,3,6,10,4,246440,2,2,3,0,2,4,0,0,0,2,0,2,9,9,0,1,0,0,0,0,0,0,9,9,1997,1,2,2,2,1,5,0,1,1,7,4,5,7,4,0,0,7,1,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,2,3,2,1,1,2,1,9,9,2,9,0,0,1.0,1,1,2,2,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,1,1
4325108,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Bingar,Bingarh,Pokhari,1,3,1,5,1,246473,2,2,3,0,2,4,0,0,0,0,0,2,2,2,230,1,0,0,0,0,0,3,9,9,1975,1,2,9,2,2,0,0,1,3,1,1,2,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,0,0,1.0,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,2,1,1,1
9657695,UTTARAKHAND,CHAMOLI,THARALI,1,,,Harchan,Tungeshwar,Tharali,1,3,1,5,1,246482,2,2,3,0,2,4,19,14,0,0,0,1,2,2,225,1,0,0,0,0,0,0,9,9,1993,1,2,9,2,1,5,3,1,3,1,1,2,2,3,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,2,2,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,0,0,1.0,1,2,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
3090189,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Bhatmwali,Batagwali,Gairsain,5,3,6,12,1,246487,2,2,3,0,2,4,14,19,0,2,2,2,9,9,0,1,0,0,0,0,0,0,9,9,1991,1,2,2,2,1,5,0,1,3,6,6,1,6,2,6,0,0,2,2,2,2,2,0,0,0,0,0,0,1,2,2,1,2,1,2,2,2,1,2,1,2,1,1,1,2,1,1,1,1,9,1,2,9,1,4,4,4,4,4,4,4,4,4,1,2,0,0,6,0,0,0,1,1,2,1,2,3,2,1,1,2,2,9,9,2,2,12,0,1.0,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,2,1,1,1,1
9853968,UTTARAKHAND,CHAMOLI,Jyotirmath,1,,,Topovan,Tapovan,Joshimath,1,3,1,5,1,246483,2,2,3,0,2,4,19,14,0,0,0,1,2,1,225,1,0,0,0,0,2,0,9,9,1927,1,2,9,2,1,8,0,1,3,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,1,2,3,1,1,1,9,9,2,9,9,9,0,0,1.0,1,1,1,2,1,1,1,1,9,0,1,2,6,1,1,2,2,1,1,1,1
6514824,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Luntara,Luntara,Ghat,4,3,6,8,1,246435,2,2,3,0,2,4,14,19,0,0,0,2,9,9,229,1,0,0,0,0,0,0,9,9,2007,1,2,2,2,1,5,10,1,3,1,1,1,3,2,0,1,2,1,0,0,1,1,0,0,0,0,0,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,3,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,1,2,1,0,5,0,0,0,0,1,3,1,1,3,2,1,1,9,9,9,9,9,9,0,0,1.0,1,1,1,2,1,1,1,1,1,17,1,1,4,1,1,2,2,1,1,1,1
7835805,UTTARAKHAND,CHAMOLI,NANDANAGAR,1,,,Kumjug,Kumjug,Ghat,7,3,6,10,1,246435,2,2,3,0,2,4,0,0,0,2,0,1,9,9,220,1,0,0,0,0,0,0,9,9,2005,1,2,2,2,1,4,0,1,3,2,1,2,5,7,2,3,0,1,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,1,1,1,2,3,2,1,1,2,1,9,9,2,9,95,95,1.0,1,1,1,1,1,1,1,1,1,35,1,1,1,1,2,2,2,1,1,1,1
6410195,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Kwithi,Kwinthi,Pokhari,1,3,1,5,1,246429,2,2,3,0,2,4,14,19,0,0,0,2,2,2,223,1,1,0,0,0,0,0,9,9,1963,1,2,9,2,2,0,3,1,3,1,1,5,2,3,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,70,0,1.0,1,1,1,2,1,1,1,1,9,0,1,2,2,1,1,2,2,2,1,1,1
4252507,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Kaira,Dairha,Gairsain,1,3,1,5,1,246440,2,2,3,0,2,4,19,14,0,0,0,2,2,1,227,1,0,0,0,0,0,0,9,9,1997,1,2,9,2,1,0,0,1,3,3,3,2,3,3,0,0,3,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,0,0,1.0,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
5187269,UTTARAKHAND,CHAMOLI,KARANPRAYAG,1,,,Jasyara,Jasyara,Karnaprayag,4,3,6,8,1,246488,2,2,3,0,2,4,0,0,0,0,0,1,9,9,238,1,0,0,0,0,0,0,9,9,2004,1,2,2,2,2,0,0,1,3,1,0,7,3,1,0,3,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,3,0,0,0,0,0,1,1,2,3,2,1,1,9,9,9,9,9,9,0,0,2.0,1,1,1,2,1,1,1,1,1,12,1,1,2,1,1,2,2,1,1,1,1
8856964,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Padmalla,Padmala,Dewal,1,3,1,5,1,246427,2,2,3,0,2,4,19,14,0,0,0,1,2,1,225,1,0,1,0,0,0,0,9,9,1963,2,2,9,2,1,2,0,1,3,1,1,1,3,1,3,0,0,2,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,0,0,2.0,1,1,1,1,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
9012679,UTTARAKHAND,CHAMOLI,THARALI,1,,,Kurad,Kurad,Tharali,1,3,1,5,5,246481,2,2,3,0,2,4,0,0,0,0,0,1,2,9,227,1,2,2,0,0,0,0,9,9,2009,9,2,9,2,9,0,0,9,2,1,1,1,3,1,3,0,0,1,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,0,0,0,1,2,3,2,2,2,9,9,2,9,9,9,0,0,,1,2,2,1,1,1,1,1,9,0,1,1,2,1,1,2,2,2,1,1,2
9815463,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Gawar,Gwad,Dasholi,1,3,1,5,5,246401,2,2,3,0,2,4,0,0,0,0,0,1,1,9,210,1,1,1,0,0,0,0,9,9,1996,9,2,9,2,9,0,0,9,1,1,1,2,3,1,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,3,1,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,9,9,2,9,9,9,0,0,,1,1,1,2,1,1,1,1,9,0,1,2,3,1,1,1,1,2,1,1,1
1009881,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Ghes,Ghes,Dewal,1,3,1,5,1,246427,2,2,3,0,2,4,19,0,0,0,0,2,2,2,225,1,0,0,0,0,0,0,9,9,1991,2,2,9,2,1,0,0,1,3,1,1,1,2,3,2,0,0,1,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,2,2,3,2,1,1,9,9,2,9,9,9,5,5,1.0,1,1,1,2,1,1,2,1,9,0,1,1,6,1,1,2,2,1,1,1,1
1822939,UTTARAKHAND,CHAMOLI,DEWAL,1,,,Torati,Torti,Dewal,1,3,1,5,1,246427,2,2,3,0,2,4,19,14,0,0,0,2,2,2,0,1,0,0,0,0,3,0,9,9,1952,1,2,9,2,1,0,3,1,3,1,1,2,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,1,1,3,2,1,1,9,9,2,9,9,9,8,0,1.0,1,1,1,2,1,2,2,1,9,0,1,2,6,1,1,1,1,2,1,1,2
9122080,UTTARAKHAND,CHAMOLI,Jyotirmath,1,,,Raigari,Regdi,Joshimath,7,3,6,10,1,246483,2,2,3,0,2,4,14,19,0,2,0,1,9,9,204,1,0,0,0,0,0,0,9,9,2015,1,2,2,2,1,4,4,1,3,6,6,5,6,1,6,0,0,1,3,3,2,2,0,0,0,0,3,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0,0,0,1,2,1,3,2,1,1,2,2,9,9,2,9,58,0,1.0,1,1,1,2,1,1,2,1,1,14,1,1,2,1,1,2,2,1,1,1,1
9987436,UTTARAKHAND,CHAMOLI,POKHARI,1,,,Bhikauna,Bhikona,Pokhari,1,3,1,5,1,246473,2,2,3,0,2,4,19,14,0,0,0,2,2,2,230,1,0,0,0,0,0,0,9,9,1952,1,2,9,2,2,0,0,1,3,1,0,2,2,2,2,0,0,1,1,1,1,0,0,0,0,0,0,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,0,0,1.0,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,2,1,1,1
8980249,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Salaraitoli,Salla Retoli,Dasholi,4,3,6,8,1,246472,2,2,3,0,2,4,0,0,0,0,0,1,9,9,224,1,0,0,0,0,0,0,9,9,1997,1,2,2,2,2,0,0,1,3,1,1,1,3,2,3,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,1,2,2,2,1,1,9,9,9,9,9,9,6,7,1.0,1,1,1,2,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,1,1
7052231,UTTARAKHAND,CHAMOLI,GAIRSAIN,1,,,Kulagar,Andrapa,Gairsain,1,3,1,5,1,246428,2,2,3,0,2,4,19,14,0,0,0,2,2,2,224,1,0,0,0,0,0,0,9,9,1998,1,2,9,2,1,10,27,1,3,2,1,2,3,3,0,3,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,13,0,1.0,1,1,1,2,1,1,1,1,9,0,1,1,5,1,1,2,2,1,1,1,1
8150328,UTTARAKHAND,CHAMOLI,DASHOLI,1,,,Bairagana,Bairagana,Dasholi,5,3,6,12,1,246401,2,2,3,0,2,4,14,19,0,2,2,1,9,9,209,1,0,0,0,0,0,0,9,9,1976,2,1,2,2,1,4,35,2,3,2,2,2,9,7,5,3,1,1,2,2,2,2,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,9,1,2,9,1,2,2,2,4,4,4,4,4,4,1,2,0,0,5,0,0,0,1,3,2,1,2,3,2,1,1,2,2,9,9,2,2,205,0,1.0,1,1,1,1,1,1,1,1,1,80,1,1,2,1,2,2,3,1,1,1,1
7934238,UTTARAKHAND,CHAMOLI,NARAYANBAGAR,1,,,Kandwal Gaon,Kandwal Gaon,Narayanbagar,7,3,6,10,1,246455,2,2,3,0,2,4,19,0,0,2,0,1,9,9,225,1,0,0,0,0,0,0,9,9,1972,1,2,2,2,1,14,12,1,3,4,4,3,5,4,0,2,3,2,1,1,1,1,1,1,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,2,0,1,1,1,3,2,1,1,2,2,9,9,2,9,30,30,1.0,1,1,1,2,1,1,1,1,1,13,1,1,6,1,1,2,2,1,1,1,1
