settlement_id,settlement_name,population,population_2011,latitude,longitude,coordinate_source,coordinate_confidence,coordinate_status,nearest_dem_terrain_hazard_score,nearest_dem_distance_km,nearest_event_id,nearest_event_station,nearest_event_time,nearest_event_distance_km,nearest_event_hazard_score,nearest_event_hazard_level,event_distance_factor,terrain_component,event_component,hazard_exposure_score,hazard_exposure_level,population_exposure_score,settlement_exposure_score,settlement_exposure_level,spatial_status,exposure_status,recommended_action,STATE,DISTRICT,SUBDISTT,TOWN/VILLAGE,WARD,LEVEL,settlement_type,NO_HH,households,TOT_P,TOT_M,TOT_F,population_growth,population_growth_pct,POPULATION_YEAR,SOURCE,NAME_CLEAN
SETTLEMENT_40818,Bharkichak-Urgam,157,133,30.5483,79.4621,PaintMaps Chamoli map; matched spelling Bharki Chak Urgam,MEDIUM,RESOLVED,31.21,0.0103,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,13.9943,36.1975,HIGH,0.4402,12.484,21.7185,34.2025,LOW,0.7974,24.181,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40818,0,VILLAGE,Rural,26,26,133,72,61,24,18.045112781954884,2011,Census of India - Population Census 2011,BHARKICHAK-URGAM
SETTLEMENT_40819,Bheta Chak Urgam,408,346,30.5406,79.4698,PaintMaps Chamoli map,MEDIUM,RESOLVED,22.4,0.0172,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,14.5342,34.4216,HIGH,0.4186,8.96,20.653,29.613,LOW,2.0722,21.3508,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40819,0,VILLAGE,Rural,67,67,346,183,163,62,17.91907514450867,2011,Census of India - Population Census 2011,BHETA CHAK URGAM
SETTLEMENT_40820,Lyari Thana,279,237,30.5298,79.4714,PaintMaps Chamoli map,MEDIUM,RESOLVED,21.9,0.0184,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,15.6332,30.8072,HIGH,0.3747,8.76,18.4843,27.2443,LOW,1.417,19.4961,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40820,0,VILLAGE,Rural,55,55,237,130,107,42,17.72151898734177,2011,Census of India - Population Census 2011,LYARI THANA
SETTLEMENT_40821,Salna Chak Urgam,151,128,30.5301,79.4927,PaintMaps Chamoli map,MEDIUM,RESOLVED,16.48,0.0131,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,15.1608,32.3611,HIGH,0.3936,6.592,19.4166,26.0086,LOW,0.7669,18.4361,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40821,0,VILLAGE,Rural,31,31,128,69,59,23,17.96875,2011,Census of India - Population Census 2011,SALNA CHAK URGAM
SETTLEMENT_40822,Hailang,622,528,30.5252,79.5002,PaintMaps Chamoli map,MEDIUM,RESOLVED,25.18,0.0073,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,15.6063,30.8959,HIGH,0.3757,10.072,18.5375,28.6095,LOW,3.1591,20.9744,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40822,0,VILLAGE,Rural,121,121,528,307,221,94,17.803030303030305,2011,Census of India - Population Census 2011,HAILANG
SETTLEMENT_40823,Paini,782,664,30.5281,79.5214,PaintMaps Chamoli map; Joshimath-area occurrence,MEDIUM,RESOLVED,14.43,0.0149,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,15.1973,32.241,HIGH,0.3921,5.772,19.3446,25.1166,LOW,3.9718,18.7731,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40823,0,VILLAGE,Rural,153,153,664,369,295,118,17.771084337349397,2011,Census of India - Population Census 2011,PAINI
SETTLEMENT_40824,Sailang,897,761,30.5393,79.5283,PaintMaps Chamoli map,MEDIUM,RESOLVED,34.12,0.0121,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,13.9892,36.2142,HIGH,0.4404,13.648,21.7285,35.3765,LOW,4.5558,26.1303,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40824,0,VILLAGE,Rural,150,150,761,416,345,136,17.871222076215506,2011,Census of India - Population Census 2011,SAILANG
SETTLEMENT_40825,Gaunkh Laga Sailang,18,15,30.5454,79.5425,PaintMaps Chamoli map,MEDIUM,RESOLVED,12.41,0.005,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,13.4846,37.874,HIGH,0.4606,4.964,22.7244,27.6884,LOW,0.0914,19.4093,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40825,0,VILLAGE,Rural,8,8,15,10,5,3,20.0,2011,Census of India - Population Census 2011,GAUNKH LAGA SAILANG
SETTLEMENT_40826,Auli Laga Joshimath,352,299,30.5328,79.5686,Wikidata/Census-linked Auli coordinate,MEDIUM,RESOLVED,20.27,0.0113,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,15.4656,31.3584,HIGH,0.3814,8.108,18.8151,26.9231,LOW,1.7878,19.3825,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40826,0,VILLAGE,Rural,36,36,299,254,45,53,17.725752508361204,2011,Census of India - Population Census 2011,AULI LAGA JOSHIMATH
SETTLEMENT_40827,Auli Laga Salud Dugra,2,2,30.5257,79.5697,PaintMaps Chamoli map,MEDIUM,RESOLVED,25.98,0.0143,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,16.245,28.7951,HIGH,0.3502,10.392,17.2771,27.6691,LOW,0.0102,19.3714,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40827,0,VILLAGE,Rural,1,1,2,2,0,0,0.0,2011,Census of India - Population Census 2011,AULI LAGA SALUD DUGRA
SETTLEMENT_40828,Salud Dugra,1865,1583,30.5109,79.5231,PaintMaps Chamoli map,MEDIUM,RESOLVED,1.92,0.0118,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,17.1147,25.9346,HIGH,0.3154,0.768,15.5608,16.3288,VERY_LOW,9.4723,14.2718,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40828,0,VILLAGE,Rural,386,386,1583,801,782,282,17.814276689829438,2011,Census of India - Population Census 2011,SALUD DUGRA
SETTLEMENT_40829,Dumak,366,311,30.5072,79.3831,OpenStreetMap Nominatim,MEDIUM,RESOLVED,56.38,1.6606,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,21.7266,10.7661,HIGH,0.1309,22.552,6.4596,29.0116,LOW,1.8589,20.8658,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40829,0,VILLAGE,Rural,68,68,311,151,160,55,17.684887459807076,2011,Census of India - Population Census 2011,DUMAK
SETTLEMENT_40830,Kalgoth,418,355,30.5165,79.415,OpenStreetMap Nominatim,MEDIUM,RESOLVED,14.21,0.0142,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,19.1757,19.1561,HIGH,0.233,5.684,11.4936,17.1776,VERY_LOW,2.123,12.6612,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40830,0,VILLAGE,Rural,70,70,355,176,179,63,17.74647887323944,2011,Census of India - Population Census 2011,KALGOTH
SETTLEMENT_40831,Uchougaur,54,46,30.5031,79.4316,PaintMaps Chamoli map,MEDIUM,RESOLVED,29.56,0.0099,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,19.7646,17.219,HIGH,0.2094,11.824,10.3314,22.1554,LOW,0.2743,15.5911,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40831,0,VILLAGE,Rural,11,11,46,24,22,8,17.391304347826086,2011,Census of India - Population Census 2011,UCHOUGAUR
SETTLEMENT_40832,Palla,435,369,30.5123,79.4721,OpenStreetMap Nominatim,MEDIUM,RESOLVED,39.95,0.0096,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,17.4978,24.6746,HIGH,0.3001,15.98,14.8047,30.7847,LOW,2.2094,22.2121,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40832,0,VILLAGE,Rural,72,72,369,180,189,66,17.88617886178862,2011,Census of India - Population Census 2011,PALLA
SETTLEMENT_40833,Jakhola,237,201,30.5074,79.4601,PaintMaps Chamoli map,MEDIUM,RESOLVED,22.35,0.0077,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,18.3343,21.9233,HIGH,0.2666,8.94,13.154,22.094,LOW,1.2037,15.8269,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40833,0,VILLAGE,Rural,40,40,201,96,105,36,17.91044776119403,2011,Census of India - Population Census 2011,JAKHOLA
SETTLEMENT_40834,Kimana,530,450,30.4979,79.4524,OpenStreetMap Nominatim,MEDIUM,RESOLVED,28.66,0.2587,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,19.571,17.856,HIGH,0.2172,11.464,10.7136,22.1776,LOW,2.6919,16.3319,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40834,0,VILLAGE,Rural,100,100,450,227,223,80,17.77777777777778,2011,Census of India - Population Census 2011,KIMANA
SETTLEMENT_40835,Pokhani Urf Pokhari,289,245,30.476,79.4333,PaintMaps Chamoli map,MEDIUM,RESOLVED,55.84,2.6949,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,22.4807,8.286,HIGH,0.1008,22.336,4.9716,27.3076,LOW,1.4678,19.5557,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40835,0,VILLAGE,Rural,54,54,245,117,128,44,17.959183673469386,2011,Census of India - Population Census 2011,POKHANI URF POKHARI
SETTLEMENT_40836,Lanji,201,171,30.4808,79.4483,OpenStreetMap Nominatim,MEDIUM,RESOLVED,38.62,2.1532,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,21.4975,11.5195,HIGH,0.1401,15.448,6.9117,22.3597,LOW,1.0209,15.958,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40836,0,VILLAGE,Rural,27,27,171,85,86,30,17.543859649122805,2011,Census of India - Population Census 2011,LANJI
SETTLEMENT_40837,Tirosi,51,43,30.4768,79.4639,OpenStreetMap Nominatim,MEDIUM,RESOLVED,42.79,2.615,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,21.5205,11.4441,HIGH,0.1392,17.116,6.8665,23.9825,LOW,0.259,16.8654,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40837,0,VILLAGE,Rural,8,8,43,21,22,8,18.6046511627907,2011,Census of India - Population Census 2011,TIROSI
SETTLEMENT_40838,Dwing,150,127,30.4887,79.4621,OpenStreetMap Nominatim,MEDIUM,RESOLVED,44.78,1.298,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,20.285,15.5075,HIGH,0.1886,17.912,9.3045,27.2165,LOW,0.7618,19.2801,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40838,0,VILLAGE,Rural,30,30,127,62,65,23,18.11023622047244,2011,Census of India - Population Census 2011,DWING
SETTLEMENT_40839,Tapon,108,92,30.4948,79.4736,PaintMaps Chamoli map,MEDIUM,RESOLVED,49.37,0.6052,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,19.3611,18.5462,HIGH,0.2256,19.748,11.1277,30.8757,LOW,0.5485,21.7775,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40839,0,VILLAGE,Rural,24,24,92,51,41,16,17.391304347826086,2011,Census of India - Population Census 2011,TAPON
SETTLEMENT_40840,Gulabkoti,419,356,30.5046,79.4916,OpenStreetMap Nominatim,MEDIUM,RESOLVED,26.77,0.013,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,17.9727,23.1127,HIGH,0.2811,10.708,13.8676,24.5756,LOW,2.1281,17.8414,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40840,0,VILLAGE,Rural,81,81,356,179,177,63,17.696629213483146,2011,Census of India - Population Census 2011,GULABKOTI
SETTLEMENT_40841,Langsi,465,395,30.4934,79.4792,OpenStreetMap Nominatim,MEDIUM,RESOLVED,63.37,0.7673,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,19.4024,18.4104,HIGH,0.2239,25.348,11.0463,36.3943,LOW,2.3617,26.1845,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40841,0,VILLAGE,Rural,102,102,395,218,177,70,17.72151898734177,2011,Census of India - Population Census 2011,LANGSI
SETTLEMENT_40842,Tangni talli,273,232,30.4776,79.4639,PaintMaps Chamoli map,MEDIUM,RESOLVED,42.79,2.5267,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,21.4347,11.7261,HIGH,0.1426,17.116,7.0357,24.1517,LOW,1.3866,17.3221,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40842,0,VILLAGE,Rural,59,59,232,120,112,41,17.67241379310345,2011,Census of India - Population Census 2011,TANGNI TALLI
SETTLEMENT_40843,Tangni malli,358,304,30.4768,79.4727,PaintMaps Chamoli map,MEDIUM,RESOLVED,64.39,2.6046,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,21.335,12.0542,HIGH,0.1466,25.756,7.2325,32.9885,LOW,1.8183,23.6374,LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Routine monitoring,5,57,284,40843,0,VILLAGE,Rural,73,73,304,151,153,54,17.763157894736842,2011,Census of India - Population Census 2011,TANGNI MALLI
SETTLEMENT_40844,Jalgwar,424,360,30.4654,79.4515,PaintMaps Chamoli map,MEDIUM,RESOLVED,30.44,3.8709,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,23.0496,6.4149,HIGH,0.078,12.176,3.849,16.025,VERY_LOW,2.1535,11.8635,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40844,0,VILLAGE,Rural,77,77,360,185,175,64,17.77777777777778,2011,Census of India - Population Census 2011,JALGWAR
SETTLEMENT_40845,Pakhi,430,365,30.4657,79.4514,OpenStreetMap Nominatim,MEDIUM,RESOLVED,35.04,3.8374,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,23.0194,6.5142,HIGH,0.0792,14.016,3.9085,17.9245,VERY_LOW,2.184,13.2023,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40845,0,VILLAGE,Rural,96,96,365,184,181,65,17.80821917808219,2011,Census of India - Population Census 2011,PAKHI
SETTLEMENT_40846,Marwadi Chak Pakhi,185,157,30.4611,79.4469,PaintMaps Chamoli map,MEDIUM,RESOLVED,46.58,4.3398,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,23.627,4.5158,HIGH,0.0549,18.632,2.7095,21.3415,LOW,0.9396,15.2209,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40846,0,VILLAGE,Rural,31,31,157,109,48,28,17.8343949044586,2011,Census of India - Population Census 2011,MARWADI CHAK PAKHI
SETTLEMENT_40847,Darmi,112,95,30.4621,79.4909,OpenStreetMap Nominatim,MEDIUM,RESOLVED,35.95,4.2356,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,22.6793,7.6328,HIGH,0.0928,14.38,4.5797,18.9597,VERY_LOW,0.5688,13.4424,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40847,0,VILLAGE,Rural,19,19,95,51,44,17,17.894736842105264,2011,Census of India - Population Census 2011,DARMI
SETTLEMENT_40848,Noligwar,132,112,30.4805,79.4932,PaintMaps Chamoli map,MEDIUM,RESOLVED,35.48,2.1905,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,20.6191,14.4088,HIGH,0.1752,14.192,8.6453,22.8373,LOW,0.6704,16.1872,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40848,0,VILLAGE,Rural,25,25,112,54,58,20,17.857142857142858,2011,Census of India - Population Census 2011,NOLIGWAR
SETTLEMENT_40849,Pagnau,460,390,30.4945,79.4963,OpenStreetMap Nominatim,MEDIUM,RESOLVED,15.98,0.6313,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,19.0325,19.627,HIGH,0.2387,6.392,11.7762,18.1682,VERY_LOW,2.3363,13.4186,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40849,0,VILLAGE,Rural,94,94,390,188,202,70,17.94871794871795,2011,Census of India - Population Census 2011,PAGNAU
SETTLEMENT_40850,Molta,521,442,30.4831,79.5208,OpenStreetMap Nominatim,MEDIUM,RESOLVED,20.53,1.9039,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,20.1966,15.7982,HIGH,0.1921,8.212,9.4789,17.6909,VERY_LOW,2.6461,13.1775,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40850,0,VILLAGE,Rural,92,92,442,222,220,79,17.873303167420815,2011,Census of India - Population Census 2011,MOLTA
SETTLEMENT_40851,Ganai,530,450,30.473,79.502,OpenStreetMap Nominatim,MEDIUM,RESOLVED,29.91,3.0357,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,21.3727,11.9302,HIGH,0.1451,11.964,7.1581,19.1221,VERY_LOW,2.6919,14.193,VERY_LOW,COORDINATES_AVAILABLE,FULL_SPATIAL_EXPOSURE,Normal monitoring,5,57,284,40851,0,VILLAGE,Rural,107,107,450,240,210,80,17.77777777777778,2011,Census of India - Population Census 2011,GANAI
SETTLEMENT_40852,Bhalgaon,197,167,30.519,79.7329,PaintMaps Chamoli map,MEDIUM,RESOLVED,26.65,0.0138,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,26.2209,0.0,HIGH,0.0,10.66,0.0,26.65,LOW,1.0006,18.9552,VERY_LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Normal monitoring,5,57,284,40852,0,VILLAGE,Rural,42,42,167,76,91,30,17.964071856287426,2011,Census of India - Population Census 2011,BHALGAON
SETTLEMENT_40853,Longsagari,118,100,30.5966,79.7856,PaintMaps Chamoli map,MEDIUM,RESOLVED,50.34,3.4773,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,26.7502,0.0,HIGH,0.0,20.136,0.0,50.34,MODERATE,0.5993,35.4178,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40853,0,VILLAGE,Rural,27,27,100,56,44,18,18.0,2011,Census of India - Population Census 2011,LONGSAGARI
SETTLEMENT_40854,Fagti,0,0,30.5563,79.7756,PaintMaps Chamoli map,MEDIUM,RESOLVED,50.9,2.4986,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,27.4856,0.0,HIGH,0.0,20.36,0.0,50.9,MODERATE,0.0,35.63,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40854,0,VILLAGE,Rural,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,FAGTI
SETTLEMENT_40855,Pagrasu,66,56,30.5508,79.7549,PaintMaps Chamoli map,MEDIUM,RESOLVED,78.88,0.541,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,26.0164,0.0,HIGH,0.0,31.552,0.0,78.88,HIGH,0.3352,55.3166,MODERATE,COORDINATES_AVAILABLE,TERRAIN_ONLY,Enhanced monitoring and preparedness,5,57,284,40855,0,VILLAGE,Rural,20,20,56,27,29,10,17.857142857142858,2011,Census of India - Population Census 2011,PAGRASU
SETTLEMENT_40856,Tolma,506,429,30.5239,79.7522,OpenStreetMap Nominatim,MEDIUM,RESOLVED,29.94,0.2767,lambagarh_2026_07_17,Lambagarh river station,2026-07-17 18:30:00,27.3844,0.0,HIGH,0.0,11.976,0.0,29.94,LOW,2.57,21.729,LOW,COORDINATES_AVAILABLE,TERRAIN_ONLY,Routine monitoring,5,57,284,40856,0,VILLAGE,Rural,74,74,429,299,130,77,17.94871794871795,2011,Census of India - Population Census 2011,TOLMA
