source_settlement_id,source_settlement,source_population,source_district,recommendation_rank,site_id,site_name,site_village,site_district,ai_relocation_score,safe_site_score,site_capacity,distance_km,distance_score,accessibility_score,infrastructure_score,remaining_capacity,recommendation_status,reason
SETTLEMENT_40810,Thaing,950,57,3,9122080,Educational Facility,Raigari,CHAMOLI,68.586,69.86,75.0,13.932,40.453,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40810,Thaing,950,57,4,6188919,Educational Facility,Pandukaswar,CHAMOLI,66.68,63.47,62.0,8.302,77.985,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40810,Thaing,950,57,5,9156747,Educational Facility,Langsi,CHAMOLI,66.42,63.47,62.0,8.66,75.601,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40811,Arurhi Paturi,718,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,80.287,71.23,100.0,2.212,100.0,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40811,Arurhi Paturi,718,57,2,6188919,Educational Facility,Pandukaswar,CHAMOLI,68.761,63.47,62.0,2.212,100.0,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40811,Arurhi Paturi,718,57,3,9122080,Educational Facility,Raigari,CHAMOLI,65.658,69.86,75.0,20.393,0.0,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40811,Arurhi Paturi,718,57,4,7073310,Educational Facility,Pakhi,CHAMOLI,64.033,69.24,50.0,21.731,0.0,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40811,Arurhi Paturi,718,57,5,4283719,Educational Facility,Urgam,CHAMOLI,64.027,53.86,125.0,14.053,39.645,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40812,Bhyudar,72,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,79.737,71.23,100.0,6.148,92.348,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40812,Bhyudar,72,57,2,6188919,Educational Facility,Pandukaswar,CHAMOLI,68.017,63.47,62.0,6.148,92.348,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40812,Bhyudar,72,57,3,9122080,Educational Facility,Raigari,CHAMOLI,65.603,69.86,75.0,21.988,0.0,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40812,Bhyudar,72,57,4,7073310,Educational Facility,Pakhi,CHAMOLI,64.043,69.24,50.0,26.828,0.0,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40812,Bhyudar,72,57,5,9859864,Educational Facility,Bara Gaon,CHAMOLI,62.028,63.61,75.0,17.081,19.457,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40813,Pandukaswar,1645,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,80.282,71.23,100.0,0.0,100.0,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40813,Pandukaswar,1645,57,2,6188919,Educational Facility,Pandukaswar,CHAMOLI,68.756,63.47,62.0,0.0,100.0,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40813,Pandukaswar,1645,57,3,9122080,Educational Facility,Raigari,CHAMOLI,65.729,69.86,75.0,18.342,11.054,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40813,Pandukaswar,1645,57,4,9859864,Educational Facility,Bara Gaon,CHAMOLI,64.453,63.61,75.0,13.416,43.893,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40813,Pandukaswar,1645,57,5,4283719,Educational Facility,Urgam,CHAMOLI,64.272,53.86,125.0,13.609,42.605,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40814,Pulana Chak Bhyudar,336,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,80.208,71.23,100.0,2.268,100.0,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40814,Pulana Chak Bhyudar,336,57,2,6188919,Educational Facility,Pandukaswar,CHAMOLI,68.757,63.47,62.0,2.268,100.0,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40814,Pulana Chak Bhyudar,336,57,3,9122080,Educational Facility,Raigari,CHAMOLI,65.74,69.86,75.0,17.854,14.307,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40814,Pulana Chak Bhyudar,336,57,4,9859864,Educational Facility,Bara Gaon,CHAMOLI,64.827,63.61,75.0,12.888,47.415,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40814,Pulana Chak Bhyudar,336,57,5,3856092,Educational Facility,Bara Gaon,CHAMOLI,64.364,66.72,62.0,12.888,47.415,100.0,85.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40815,Toli Laga Chiae,53,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,79.721,71.23,100.0,5.445,97.034,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40815,Toli Laga Chiae,53,57,2,9122080,Educational Facility,Raigari,CHAMOLI,68.568,69.86,75.0,13.422,43.85,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40815,Toli Laga Chiae,53,57,3,6188919,Educational Facility,Pandukaswar,CHAMOLI,68.458,63.47,62.0,5.445,97.034,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40815,Toli Laga Chiae,53,57,4,9859864,Educational Facility,Bara Gaon,CHAMOLI,67.223,63.61,75.0,8.714,75.242,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40815,Toli Laga Chiae,53,57,5,3856092,Educational Facility,Bara Gaon,CHAMOLI,66.852,66.72,62.0,8.714,75.242,100.0,85.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40816,Chaien,608,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,78.737,71.23,100.0,7.545,83.033,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40816,Chaien,608,57,2,9122080,Educational Facility,Raigari,CHAMOLI,71.399,69.86,75.0,12.118,52.546,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40816,Chaien,608,57,3,9859864,Educational Facility,Bara Gaon,CHAMOLI,67.683,63.61,75.0,7.777,81.484,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40816,Chaien,608,57,4,4283719,Educational Facility,Urgam,CHAMOLI,67.68,53.86,125.0,8.319,77.872,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40816,Chaien,608,57,5,3856092,Educational Facility,Bara Gaon,CHAMOLI,67.323,66.72,62.0,7.777,81.484,100.0,85.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40817,Urgam,1825,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,73.368,71.23,100.0,13.609,42.605,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40817,Urgam,1825,57,2,4283719,Educational Facility,Urgam,CHAMOLI,70.008,53.86,125.0,0.0,100.0,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40817,Urgam,1825,57,3,9156747,Educational Facility,Langsi,CHAMOLI,68.327,63.47,62.0,5.628,95.812,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40817,Urgam,1825,57,4,7073310,Educational Facility,Pakhi,CHAMOLI,66.422,69.24,50.0,8.288,78.077,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40817,Urgam,1825,57,5,9122080,Educational Facility,Raigari,CHAMOLI,65.951,69.86,75.0,16.422,23.854,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40818,Bharkichak-Urgam,157,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,75.168,71.23,100.0,12.581,49.462,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40818,Bharkichak-Urgam,157,57,2,4283719,Educational Facility,Urgam,CHAMOLI,70.017,53.86,125.0,1.047,100.0,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40818,Bharkichak-Urgam,157,57,3,9156747,Educational Facility,Langsi,CHAMOLI,67.886,63.47,62.0,6.322,91.19,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40818,Bharkichak-Urgam,157,57,4,7073310,Educational Facility,Pakhi,CHAMOLI,66.2,69.24,50.0,9.239,71.74,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40818,Bharkichak-Urgam,157,57,5,9122080,Educational Facility,Raigari,CHAMOLI,65.835,69.86,75.0,16.366,24.226,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40819,Bheta Chak Urgam,408,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,74.865,71.23,100.0,12.781,48.13,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40819,Bheta Chak Urgam,408,57,2,4283719,Educational Facility,Urgam,CHAMOLI,70.037,53.86,125.0,1.265,100.0,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40819,Bheta Chak Urgam,408,57,3,9156747,Educational Facility,Langsi,CHAMOLI,68.486,63.47,62.0,5.331,97.794,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40819,Bheta Chak Urgam,408,57,4,9122080,Educational Facility,Raigari,CHAMOLI,66.408,69.86,75.0,15.312,31.251,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40819,Bheta Chak Urgam,408,57,5,7073310,Educational Facility,Pakhi,CHAMOLI,66.336,69.24,50.0,8.518,76.549,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40820,Lyari Thana,279,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,73.252,71.23,100.0,13.684,42.109,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40820,Lyari Thana,279,57,2,4283719,Educational Facility,Urgam,CHAMOLI,70.041,53.86,125.0,1.818,100.0,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40820,Lyari Thana,279,57,3,9156747,Educational Facility,Langsi,CHAMOLI,68.762,63.47,62.0,4.124,100.0,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40820,Lyari Thana,279,57,4,7073310,Educational Facility,Pakhi,CHAMOLI,66.698,69.24,50.0,7.387,84.084,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40820,Lyari Thana,279,57,5,9122080,Educational Facility,Raigari,CHAMOLI,66.584,69.86,75.0,14.663,35.578,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40821,Salna Chak Urgam,151,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,74.78,71.23,100.0,12.677,48.82,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40821,Salna Chak Urgam,151,57,2,4283719,Educational Facility,Urgam,CHAMOLI,70.034,53.86,125.0,3.633,100.0,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40821,Salna Chak Urgam,151,57,3,9122080,Educational Facility,Raigari,CHAMOLI,69.83,69.86,75.0,12.824,47.841,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40821,Salna Chak Urgam,151,57,4,9156747,Educational Facility,Langsi,CHAMOLI,68.761,63.47,62.0,4.279,100.0,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40821,Salna Chak Urgam,151,57,5,7073310,Educational Facility,Pakhi,CHAMOLI,66.454,69.24,50.0,8.181,78.794,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40822,Hailang,622,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,74.85,71.23,100.0,12.898,47.348,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40822,Hailang,622,57,2,9122080,Educational Facility,Raigari,CHAMOLI,70.825,69.86,75.0,11.939,53.741,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40822,Hailang,622,57,3,4283719,Educational Facility,Urgam,CHAMOLI,70.011,53.86,125.0,4.493,100.0,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40822,Hailang,622,57,4,9156747,Educational Facility,Langsi,CHAMOLI,68.763,63.47,62.0,4.067,100.0,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40822,Hailang,622,57,5,9859864,Educational Facility,Bara Gaon,CHAMOLI,66.903,63.61,75.0,9.599,69.337,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40823,Paini,782,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,75.956,71.23,100.0,11.998,53.345,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40823,Paini,782,57,2,9122080,Educational Facility,Raigari,CHAMOLI,71.285,69.86,75.0,10.332,64.453,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40823,Paini,782,57,3,4283719,Educational Facility,Urgam,CHAMOLI,68.994,53.86,125.0,6.343,91.044,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40823,Paini,782,57,4,9156747,Educational Facility,Langsi,CHAMOLI,68.352,63.47,62.0,5.586,96.093,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40823,Paini,782,57,5,9859864,Educational Facility,Bara Gaon,CHAMOLI,67.725,63.61,75.0,7.601,82.662,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40824,Sailang,897,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,76.266,71.23,100.0,10.648,62.347,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40824,Sailang,897,57,2,9122080,Educational Facility,Raigari,CHAMOLI,71.187,69.86,75.0,10.538,63.083,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40824,Sailang,897,57,3,4283719,Educational Facility,Urgam,CHAMOLI,68.487,53.86,125.0,6.869,87.543,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40824,Sailang,897,57,4,9859864,Educational Facility,Bara Gaon,CHAMOLI,67.813,63.61,75.0,7.179,85.47,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40824,Sailang,897,57,5,3856092,Educational Facility,Bara Gaon,CHAMOLI,67.457,66.72,62.0,7.179,85.47,100.0,85.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40825,Gaunkh Laga Sailang,18,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,76.696,71.23,100.0,9.806,67.957,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40825,Gaunkh Laga Sailang,18,57,2,9122080,Educational Facility,Raigari,CHAMOLI,71.61,69.86,75.0,10.043,66.381,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40825,Gaunkh Laga Sailang,18,57,3,9859864,Educational Facility,Bara Gaon,CHAMOLI,69.226,63.61,75.0,6.151,92.327,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40825,Gaunkh Laga Sailang,18,57,4,3856092,Educational Facility,Bara Gaon,CHAMOLI,68.988,66.72,62.0,6.151,92.327,100.0,85.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40825,Gaunkh Laga Sailang,18,57,5,4283719,Educational Facility,Urgam,CHAMOLI,67.588,53.86,125.0,8.247,78.351,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40826,Auli Laga Joshimath,352,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,76.106,71.23,100.0,11.353,57.645,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40826,Auli Laga Joshimath,352,57,2,9122080,Educational Facility,Raigari,CHAMOLI,73.03,69.86,75.0,7.397,84.017,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40826,Auli Laga Joshimath,352,57,3,9859864,Educational Facility,Bara Gaon,CHAMOLI,70.43,63.61,75.0,3.297,100.0,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40826,Auli Laga Joshimath,352,57,4,3856092,Educational Facility,Bara Gaon,CHAMOLI,69.555,66.72,62.0,3.297,100.0,100.0,85.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40826,Auli Laga Joshimath,352,57,5,4283719,Educational Facility,Urgam,CHAMOLI,66.209,53.86,125.0,10.755,61.631,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40827,Auli Laga Salud Dugra,2,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,75.851,71.23,100.0,12.146,52.362,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40827,Auli Laga Salud Dugra,2,57,2,9122080,Educational Facility,Raigari,CHAMOLI,73.407,69.86,75.0,6.698,88.677,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40827,Auli Laga Salud Dugra,2,57,3,9859864,Educational Facility,Bara Gaon,CHAMOLI,70.429,63.61,75.0,2.976,100.0,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40827,Auli Laga Salud Dugra,2,57,4,3856092,Educational Facility,Bara Gaon,CHAMOLI,69.551,66.72,62.0,2.976,100.0,100.0,85.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40827,Auli Laga Salud Dugra,2,57,5,4283719,Educational Facility,Urgam,CHAMOLI,66.166,53.86,125.0,10.947,60.356,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40828,Salud Dugra,1865,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,73.309,71.23,100.0,13.842,41.056,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40828,Salud Dugra,1865,57,2,9122080,Educational Facility,Raigari,CHAMOLI,72.008,69.86,75.0,9.279,71.471,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40828,Salud Dugra,1865,57,3,9156747,Educational Facility,Langsi,CHAMOLI,68.757,63.47,62.0,4.635,100.0,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40828,Salud Dugra,1865,57,4,4283719,Educational Facility,Urgam,CHAMOLI,68.017,53.86,125.0,7.151,85.661,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40828,Salud Dugra,1865,57,5,9859864,Educational Facility,Bara Gaon,CHAMOLI,67.739,63.61,75.0,7.485,83.435,100.0,75.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40829,Dumak,366,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,70.381,71.23,100.0,21.161,0.0,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40829,Dumak,366,57,2,4283719,Educational Facility,Urgam,CHAMOLI,67.855,53.86,125.0,7.93,80.466,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40829,Dumak,366,57,3,7073310,Educational Facility,Pakhi,CHAMOLI,66.535,69.24,50.0,8.007,79.956,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40829,Dumak,366,57,4,9156747,Educational Facility,Langsi,CHAMOLI,66.007,63.47,62.0,9.335,71.101,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40829,Dumak,366,57,5,9122080,Educational Facility,Raigari,CHAMOLI,65.53,69.86,75.0,22.176,0.0,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40830,Kalgoth,418,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,70.381,71.23,100.0,18.233,11.783,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40830,Kalgoth,418,57,2,4283719,Educational Facility,Urgam,CHAMOLI,70.028,53.86,125.0,4.768,100.0,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40830,Kalgoth,418,57,3,7073310,Educational Facility,Pakhi,CHAMOLI,67.551,69.24,50.0,6.64,89.065,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40830,Kalgoth,418,57,4,9156747,Educational Facility,Langsi,CHAMOLI,67.442,63.47,62.0,6.668,88.88,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40830,Kalgoth,418,57,5,9122080,Educational Facility,Raigari,CHAMOLI,65.596,69.86,75.0,19.361,4.26,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40831,Uchougaur,54,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,70.288,71.23,100.0,18.317,11.22,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40831,Uchougaur,54,57,2,4283719,Educational Facility,Urgam,CHAMOLI,70.035,53.86,125.0,4.762,100.0,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40831,Uchougaur,54,57,3,9156747,Educational Facility,Langsi,CHAMOLI,68.745,63.47,62.0,4.691,100.0,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40831,Uchougaur,54,57,4,7073310,Educational Facility,Pakhi,CHAMOLI,68.729,69.24,50.0,4.571,100.0,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40831,Uchougaur,54,57,5,9122080,Educational Facility,Raigari,CHAMOLI,65.775,69.86,75.0,17.518,16.548,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40832,Palla,435,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,71.095,71.23,100.0,15.332,31.121,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40832,Palla,435,57,2,4283719,Educational Facility,Urgam,CHAMOLI,70.041,53.86,125.0,3.426,100.0,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40832,Palla,435,57,3,7073310,Educational Facility,Pakhi,CHAMOLI,68.785,69.24,50.0,5.549,96.338,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40832,Palla,435,57,4,9156747,Educational Facility,Langsi,CHAMOLI,68.763,63.47,62.0,2.213,100.0,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40832,Palla,435,57,5,9122080,Educational Facility,Raigari,CHAMOLI,68.453,69.86,75.0,13.949,40.34,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40833,Jakhola,237,57,1,5582604,Educational Facility,Pandukaswar,CHAMOLI,70.548,71.23,100.0,16.375,24.169,100.0,85.0,100.0,PRIMARY,AI ranked safe-site candidate
SETTLEMENT_40833,Jakhola,237,57,2,4283719,Educational Facility,Urgam,CHAMOLI,70.043,53.86,125.0,3.647,100.0,40.0,75.0,125.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40833,Jakhola,237,57,3,7073310,Educational Facility,Pakhi,CHAMOLI,68.815,69.24,50.0,4.715,100.0,100.0,100.0,50.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40833,Jakhola,237,57,4,9156747,Educational Facility,Langsi,CHAMOLI,68.763,63.47,62.0,2.412,100.0,100.0,90.0,62.0,ALTERNATIVE,AI ranked safe-site candidate
SETTLEMENT_40833,Jakhola,237,57,5,9122080,Educational Facility,Raigari,CHAMOLI,66.46,69.86,75.0,14.93,33.797,100.0,90.0,75.0,ALTERNATIVE,AI ranked safe-site candidate
